#{"t_start": 1763588585.6588113, "env_id": "None"}
r,l,t
-988.6,29,4.121531
-995.1,17,4.125094
-994.0,17,4.132306
-994.2,19,4.135941
-959.6,91,4.144618
-989.4,26,4.150179
-972.7,68,4.159251
-991.4,24,4.164402
-987.4,28,4.173518
-979.8,51,4.18074
-989.8,30,4.184306
-982.3,43,4.190678
-993.2,20,4.192556
-988.6,29,4.194266
-962.4,86,4.197351
-992.2,21,4.199079
-987.7,31,4.202823
-995.9,14,4.223112
-988.3,26,4.225119
-990.4,25,4.233803
-990.4,25,4.235644
-993.9,16,4.252088
-994.0,17,4.261838
-983.3,42,4.265022
-979.6,49,4.266983
-991.1,21,4.270524
-975.0,58,4.272365
-967.5,82,4.276089
-983.7,46,4.276135
-985.1,38,4.287246
-990.2,23,4.290519
-995.0,16,4.29869
-973.10004,61,4.305373
-990.3,24,4.307195
-990.2,23,4.308987
-988.4,27,4.310812
-993.4,22,4.312618
-996.0,15,4.32971
-995.0,16,4.335994
-986.5,30,4.336039
-991.2,22,4.343979
-982.2,42,4.344023
-989.5,27,4.350776
-995.9,14,4.352514
-980.3,56,4.354023
-984.2,40,4.355703
-981.1,42,4.367283
-990.4,25,4.376812
-992.2,21,4.378526
-989.5,27,11.627279
-991.5,25,11.632657
-990.1,22,11.634288
-995.1,17,11.642607
-985.6,32,11.653925
-977.5,50,11.708994
-971.7,69,11.712354
-979.2,56,11.723973
-956.3,102,11.725643
-966.1,79,11.732557
-994.9,15,11.73763
-970.7,70,11.75766
-992.4,23,11.762703
-968.0,87,11.767636
-993.2,20,11.77107
-963.9,90,11.782221
-968.2,78,11.782269
-954.6,107,11.801762
-977.9,54,11.814741
-991.5,25,11.822713
-969.8,72,11.827776
-987.6,30,11.831378
-981.6,47,11.839337
-980.9,51,11.841139
-969.10004,76,11.857006
-976.10004,58,11.862161
-979.4,58,11.865558
-992.3,22,11.867274
-989.5,27,11.867313
-981.1,42,11.870612
-989.4,26,11.908349
-984.4,42,11.910327
-988.7,30,11.920556
-970.3,66,11.924351
-986.0,36,11.927665
-982.8,37,11.929499
-984.4,42,11.932694
-986.5,30,11.959276
-987.8,32,11.964032
-967.5,71,11.975059
-958.6,92,11.990957
-954.39996,105,12.000486
-979.3,46,12.002427
-992.0,19,12.005958
-977.9,54,12.009408
-974.5,64,12.036325
-972.60004,67,12.03639
-991.4,24,12.043598
-990.2,23,12.047642
-977.10004,57,12.057336
-983.8,36,12.077249
-988.6,29,12.092649
-966.0,78,12.104362
-970.8,71,12.124567
-979.4,47,12.128488
-972.8,69,12.134577
-942.39996,128,12.167534
-973.9,69,12.185686
-966.9,76,12.195013
-984.1,39,12.211819
-990.3,24,12.228578
-959.2,98,12.244842
-984.6,33,12.252316
-972.60004,67,12.253952
-961.0,94,12.255742
-963.4,85,12.264117
-984.8,35,12.305202
-967.5,82,12.313382
-976.3,60,12.315329
-953.2,104,12.315425
-951.69995,122,12.318962
-981.1,42,12.328911
-990.3,24,12.354556
-990.2,23,12.354617
-968.8,73,12.354633
-993.0,18,12.359765
-985.8,34,12.373686
-994.1,18,12.38606
-964.1,81,12.393079
-978.9,53,12.398409
-994.9,15,12.418729
-993.1,19,12.418781
-981.0,41,12.425808
-971.4,66,12.433205
-979.0,54,12.447966
-978.6,50,12.459274
-984.0,38,12.462715
-947.39996,123,12.466335
-987.5,29,12.468196
