Iteration,return_max,return_mean,return_min,return_std
98064,101000,101000,101000,1.01
98291,101000,101000,101000,0.914
98518,101000,101000,101000,0.453
98745,101000,101000,101000,0.724
98972,101000,101000,101000,0.781
99199,101000,101000,101000,1.39
99426,101000,101000,101000,0.849
99653,101000,101000,101000,0.83
99880,101000,101000,101000,0.461
100107,101000,101000,101000,0.952
100334,101000,101000,101000,1.47
100561,101000,101000,101000,0.754
100788,101000,101000,101000,1.17
101015,101000,101000,101000,0.97
101242,101000,101000,101000,0.444
101469,101000,101000,101000,0.981
101696,101000,101000,101000,0.741
101923,101000,101000,101000,0.796
102150,101000,101000,101000,1.37
102377,101000,101000,101000,1.42
102604,101000,101000,101000,0.736
102831,101000,101000,101000,0.371
103058,101000,101000,101000,0.947
103285,101000,101000,101000,0.973
103512,101000,101000,101000,0.894
103739,101000,101000,101000,1.61
103966,101000,80800,-363,40600
104193,101000,101000,101000,1.03
104420,101000,101000,101000,1.2
104647,101000,101000,101000,0.808
104874,101000,101000,101000,0.547
105101,101000,101000,101000,1.07
105328,101000,101000,101000,0.938
105555,101000,101000,101000,0.696
105782,101000,101000,101000,1.97
106009,101000,101000,101000,0.898
106236,101000,101000,101000,2.74
106463,101000,101000,101000,0.737
106690,101000,101000,101000,0.95
106917,101000,101000,101000,0.97
107144,101000,101000,101000,0.478
107371,101000,101000,101000,0.363
107598,101000,101000,101000,1.04
107825,101000,60500,-364,49700
108052,101000,101000,101000,0.658
108279,101000,101000,101000,0.975
108506,101000,101000,101000,1.16
108733,101000,101000,101000,1.31
108960,101000,60500,-309,49700
109187,101000,101000,101000,0.505
109414,101000,101000,101000,0.543
109641,101000,101000,101000,1
109868,101000,101000,101000,1.15
110095,101000,101000,101000,0.449
110322,101000,101000,101000,0.916
110549,101000,101000,101000,1.22
110776,101000,101000,101000,0.912
111003,101000,101000,101000,1.63
111230,101000,101000,101000,2.13
111457,101000,101000,101000,1.3
111684,101000,101000,101000,1.04
111911,101000,101000,101000,1.5
112138,101000,101000,101000,1.68
112365,101000,80800,-365,40600
112592,101000,101000,101000,0.982
112819,101000,101000,101000,0.817
113046,101000,101000,101000,1.22
113273,101000,101000,101000,0.544
113500,101000,101000,101000,1.06
113727,101000,101000,101000,1.35
113954,101000,80800,9.71,40400
114181,101000,101000,101000,0.666
114408,101000,101000,101000,1.18
114635,101000,101000,101000,0.961
114862,101000,101000,101000,0.874
115089,101000,101000,101000,0.385
115316,101000,101000,101000,0.687
115543,101000,101000,101000,0.474
115770,101000,101000,101000,0.726
115997,101000,101000,101000,1.55
116224,101000,101000,101000,1.17
116451,101000,101000,101000,1.49
116678,101000,101000,101000,0.863
116905,101000,80800,-301,40500
117132,101000,101000,101000,0.509
117359,101000,101000,101000,0.618
117586,101000,101000,101000,0.558
117813,101000,80800,-50.4,40400
118040,101000,101000,101000,0.409
118267,101000,101000,101000,0.655
118494,101000,101000,101000,0.892
118721,101000,101000,101000,1.55
118948,101000,101000,101000,1.19
119175,101000,80800,-41.6,40400
119402,101000,101000,101000,0.742
119629,101000,101000,101000,1.2
119856,101000,101000,101000,1.17
120083,101000,101000,101000,0.644
120310,101000,101000,101000,1.02
120537,101000,19900,-365,40600
120764,101000,101000,101000,0.699
120991,101000,80800,-364,40600
121218,101000,80800,-58.1,40400
121445,101000,101000,101000,0.903
121672,101000,101000,101000,0.648
121899,101000,101000,101000,0.663
122126,101000,101000,101000,0.688
122353,101000,101000,101000,0.785
122580,101000,101000,101000,0.435
122807,101000,101000,101000,0.589
123034,101000,101000,101000,0.797
123261,101000,80800,24.8,40400
123488,101000,101000,101000,0.719
123715,101000,101000,101000,0.325
123942,101000,101000,101000,0.702
124169,101000,101000,101000,0.668
124396,101000,101000,101000,1.17
124623,101000,101000,101000,0.345
124850,101000,101000,101000,0.377
125077,101000,101000,101000,0.716
125304,101000,101000,101000,0.73
125531,101000,101000,101000,0.43
125758,101000,101000,101000,0.0498
125985,101000,101000,101000,0.641
126212,101000,80800,-358,40600
126439,101000,60500,-368,49700
126666,101000,101000,101000,0.706
126893,101000,101000,101000,1.24
127120,101000,80700,-853,40800
127347,101000,60600,-361,49600
127574,101000,101000,101000,0.476
127801,101000,101000,101000,1.17
128028,101000,101000,101000,1.09
128255,101000,101000,101000,0.449
128482,101000,101000,101000,0.877
128709,101000,80800,-372,40600
128936,101000,101000,101000,0.703
129163,101000,101000,101000,0.968
129390,101000,80800,-24.7,40400
129617,101000,101000,101000,0.418
129844,101000,101000,101000,0.435
130071,101000,101000,101000,0.476
130298,101000,101000,101000,0.916
130525,101000,101000,101000,0.573
130752,101000,101000,101000,0.601
130979,101000,101000,101000,0.387
131206,101000,101000,101000,0.919
131433,101000,101000,101000,0.911
131660,101000,101000,101000,0.877
131887,101000,101000,101000,0.675
132114,101000,101000,101000,0.54
132341,101000,101000,101000,0.74
132568,101000,101000,101000,0.685
132795,101000,101000,101000,0.951
133022,101000,101000,101000,0.849
133249,101000,60600,-45.1,49500
133476,101000,101000,101000,0.638
133703,101000,101000,101000,0.693
133930,101000,101000,101000,0.466
134157,101000,101000,101000,1.49
134384,101000,101000,101000,0.753
134611,101000,101000,101000,0.697
134838,101000,101000,101000,1.09
135065,101000,101000,101000,0.348
135292,101000,101000,101000,0.384
135519,101000,101000,101000,1.17
135746,101000,101000,101000,0.411
135973,101000,101000,101000,0.853
136200,101000,101000,101000,0.57
136427,101000,101000,101000,0.697
136654,101000,101000,101000,0.755
136881,101000,101000,101000,0.632
137108,101000,101000,101000,0.342
137335,101000,101000,101000,0.57
137562,101000,101000,101000,0.409
137789,101000,101000,101000,0.688
138016,101000,101000,101000,0.388
138243,101000,101000,101000,0.54
138470,101000,101000,101000,0.466
