#{"t_start": 1763608715.374144, "env_id": "None"}
r,l,t
-904.7999,214,12.215276
-969.4,68,12.222245
-965.5,84,12.224069
-982.0,51,12.225961
-939.39996,142,12.256199
-992.1,20,12.257955
-986.5,30,12.272664
-982.8,37,12.274636
-959.89996,94,12.281697
-971.9,71,12.291412
-982.1,41,12.2951
-988.4,27,12.32724
-976.8,54,12.347527
-983.0,39,12.358202
-950.6,122,12.358261
-978.6,50,12.360176
-975.2,60,12.360222
-924.19995,177,12.374963
-991.1,21,12.383012
-983.2,41,12.396563
-992.6,25,12.402211
-989.4,26,12.403926
-981.1,42,12.445338
-988.4,27,12.447176
-964.1,92,12.450855
-971.60004,68,12.471681
-980.3,45,12.471728
-996.0,15,12.471744
-970.5,68,12.471754
-983.6,45,12.478648
-989.4,26,12.489099
-974.8,67,12.495876
-941.1,137,12.504202
-993.2,20,12.50617
-993.2,20,12.506209
-985.7,33,12.506223
-990.3,24,12.542996
-991.4,24,12.544737
-916.5999,200,12.552544
-981.4,45,12.581361
-976.7,53,12.585259
-990.4,25,12.595212
-968.5,70,12.59698
-972.8,69,12.605382
-991.4,24,12.62151
-997.3,6,12.631064
-976.1,58,12.641597
-989.6,28,12.643384
-955.89996,109,12.654984
-982.9,49,12.667341
-991.2,22,12.679317
-974.3,62,12.71
-986.5,30,12.718017
-984.0,38,12.719753
-964.2,82,12.732371
-974.5,64,12.738943
-991.0,20,12.743039
-975.2,60,12.744652
-923.49994,181,12.776693
-968.5,70,12.796299
-933.99994,154,12.805256
-983.0,39,12.808661
-972.3,64,12.825861
-995.0,16,12.832503
-983.7,35,12.836217
-983.9,37,12.859734
-989.4,26,12.870633
-964.2,82,12.879755
-902.1999,221,12.879835
-967.4,81,12.883261
-959.2,98,12.911587
-988.3,26,12.931041
-988.2,25,12.941448
-985.0,37,12.944562
-991.5,25,12.967708
-993.3,21,12.977747
-981.5,46,12.986167
-979.10004,55,13.007204
-934.7999,151,13.007268
-963.5,86,13.013567
-992.3,22,13.018982
-994.9,15,13.039869
-975.2,60,13.054542
-947.19995,132,13.064342
-981.4,56,13.068883
-973.8,68,13.070702
-942.39996,128,13.082625
-981.5,46,13.086066
-992.1,20,13.103921
-961.6,89,13.147287
-977.10004,57,13.161803
-977.0,56,13.176344
-978.6,50,13.202105
-985.6,32,13.224959
-984.2,40,13.22698
-967.8,74,13.227043
-955.2,102,13.233513
-982.9,38,13.251621
-949.89996,126,13.255728
-984.7,34,13.269443
-992.3,22,13.275226
-995.0,16,13.287045
-989.7,29,13.307524
-925.8999,172,13.329198
-941.19995,138,13.329259
-977.2,58,13.336623
-988.0,34,13.338392
-992.1,20,13.343696
-984.6,33,13.346993
-975.60004,64,13.347032
-972.60004,67,13.350549
-939.49994,143,13.359363
-978.8,52,13.364267
-985.3,40,13.3999
-989.0,33,13.401735
-985.7,33,13.405373
-983.8,36,13.410231
-981.8,49,13.423817
-988.6,40,13.429036
-980.10004,54,13.430857
-992.1,20,13.463183
-967.2,79,13.466887
-984.2,40,13.473842
-977.5,50,13.48815
-965.1,80,13.489949
-980.9,51,13.511736
-973.60004,66,13.523844
-966.7,74,13.527398
-974.60004,65,13.543978
-980.3,45,13.545559
-980.2,44,13.550773
-992.9,17,13.554382
-953.0,113,13.561133
-980.2,44,13.564419
-991.4,24,13.57022
-992.3,22,13.582261
-995.0,16,13.589611
-968.9,74,13.592985
-974.2,61,13.596445
-975.8,55,13.609195
-991.9,29,13.616199
-994.9,15,13.636117
-985.7,33,13.6417
-990.2,23,13.657761
-974.8,56,13.670016
-981.8,49,13.680544
-961.8,91,13.71239
-992.3,22,13.719388
-977.7,52,13.728235
-980.6,48,13.742303
-951.0,115,13.749247
-972.0,61,13.7493
-964.1,92,13.759434
-981.3,44,13.795893
-990.1,22,13.797668
-953.6,119,13.799583
-985.9,35,13.809697
-982.4,44,13.817858
-986.7,43,13.822964
-927.99994,171,13.853337
-986.8,33,13.853394
-965.5,84,13.856569
-989.4,26,13.861539
-985.2,39,13.874764
-952.6,120,13.876652
-990.3,24,13.901304
-978.6,50,13.906438
-982.9,38,13.916205
-971.10004,74,13.920193
-994.2,19,13.935192
-974.10004,60,13.98009
-980.3,45,13.995744
-932.49994,161,14.005124
-958.1,98,14.023982
-970.4,67,14.025851
-992.3,22,14.036561
-985.6,32,14.038924
-939.49994,143,14.04712
-967.0,77,14.057913
-992.3,22,14.075199
-946.19995,122,14.089854
-963.7,88,14.091516
-983.7,35,14.100246
-937.19995,142,14.105425
-979.3,57,14.107179
-985.7,33,14.115705
-983.1,40,14.159467
-965.9,77,14.159526
-977.0,56,14.184736
-966.9,76,14.205123
-975.2,60,14.206895
-974.5,64,14.214639
-959.2,109,14.23395
-994.1,18,14.245859
-995.0,16,14.262827
-977.8,64,14.270571
-969.7,71,14.283042
-976.7,53,14.298138
-987.5,29,14.298195
-968.9,74,14.313954
-946.6,126,14.317928
-988.4,27,14.317977
-990.4,25,14.326628
-990.6,27,14.345574
-987.7,31,14.352293
-961.3,86,14.357572
-984.4,42,14.385083
-911.9999,209,14.385135
-993.0,18,14.386872
-983.5,44,14.399062
-979.8,51,14.402747
-918.99994,191,14.438537
-954.8,109,14.44506
-964.8,88,14.4617
-981.9,39,14.46549
-977.0,56,14.476799
-987.7,31,14.496575
-992.2,21,14.500123
-956.89996,97,14.503642
-987.7,31,14.513762
-981.5,46,14.51548
-988.5,28,14.524731
-992.1,20,14.531108
-952.69995,110,14.53294
-964.4,84,14.53797
-990.4,25,14.546421
-993.1,19,14.548319
-980.6,48,14.598346
-988.6,29,14.600554
-974.2,61,14.607549
-974.60004,65,14.644701
-974.3,62,14.656352
-930.39996,162,14.659739
-968.60004,71,14.663502
-965.1,80,14.665339
-926.69995,169,14.672199
-981.4,45,14.677368
-977.5,50,14.688409
-990.3,24,14.702109
-991.2,22,14.716148
-983.7,35,14.718243
-985.8,34,14.723275
-987.6,30,14.725187
-966.8,75,14.739152
-949.69995,124,14.75153
-990.2,23,14.764382
-989.5,27,14.764425
-981.7,48,14.783822
-973.0,60,14.790344
-978.10004,56,14.815914
-991.2,22,14.819731
-978.6,50,14.821459
-980.2,44,14.837402
-955.3,114,14.840999
-965.9,77,14.845936
-973.4,64,14.856979
-993.2,20,14.870387
-985.5,31,14.873784
-991.3,23,14.884046
-969.3,78,14.894736
-981.8,49,14.900517
-939.39996,142,14.907524
-984.2,40,14.909315
-993.0,18,14.917178
-992.3,22,14.938934
-978.4,48,14.954067
-987.7,31,14.968548
-982.10004,52,14.983788
-981.10004,53,14.998551
-988.3,26,15.012425
-997.5,8,15.012486
-952.1,115,15.016469
-982.7,47,15.018575
-970.3,66,15.020695
-993.0,18,15.048348
-996.0,15,15.051285
-992.2,21,15.055473
-993.1,19,15.085928
-949.1,129,15.087907
-982.0,40,15.094375
-946.39996,124,15.096145
-990.4,25,15.101941
-981.4,45,15.106012
-987.6,30,15.107788
-969.3,78,21.993934
-991.1,21,22.007314
-983.1,40,22.040825
-982.10004,52,22.050456
-971.4,66,22.065474
-975.3,61,22.070915
-973.2,73,22.076513
-891.79987,249,22.089952
-991.3,23,22.090008
-977.9,54,22.130938
-920.7999,187,22.148155
-960.7,91,22.148216
-993.0,18,22.181521
-972.8,69,22.216917
-951.5,109,22.285919
-978.6,50,22.293373
-951.39996,119,22.298859
-981.1,42,22.310191
-933.99994,165,22.31934
-945.69995,128,22.340459
-958.9,95,22.342152
-933.89996,153,22.369823
-946.69995,127,22.381395
-994.2,19,22.401715
-944.8,130,22.52156
-943.69995,130,22.531123
-960.4,88,22.550321
-944.39996,137,22.574605
-991.3,23,22.578825
-958.8,94,22.585338
-932.2999,159,22.595773
-986.2,38,22.59983
-986.5,30,22.608008
-931.7999,165,22.62053
-992.4,23,22.624874
-858.3999,355,22.627806
-928.69995,167,22.658452
-918.0999,193,22.703672
-983.2,41,22.726701
-988.4,27,22.748937
-958.8,105,22.782884
-987.5,29,22.797442
-944.39996,126,22.80822
-946.0,131,22.830053
-949.19995,119,22.830108
-941.39996,140,22.861023
-965.5,84,22.867915
-994.0,17,22.889089
-923.8999,185,22.925276
-990.5,26,22.931857
-961.0,94,22.95299
-970.4,78,22.958086
-986.0,36,22.985777
-946.39996,124,22.989166
-992.2,21,22.994364
-954.5,106,23.006735
-944.5,127,23.084338
-875.59985,296,23.088268
-958.39996,101,23.108057
-954.8,109,23.146857
-869.6998,314,23.174204
